CustomerID,FirstName,LastName,Address,City,State,ZipCode,PhoneNumber
1,Benjamin,Masterson,102 West Bell Avenue,Livingston,NJ,07039,9732340130
2,Mary,Milgrom,14 Elm Lane,Dover,NJ,07806,2019230021
3,Robert,Goodman,432 Lake Drive,Ewing,NJ,08618,6098438299
4,Margerita,Colon,442 W. 73rd Street,New York,NY,10021,2123240901
5,Irving,Wachtel,4020 Main Street,Hammonton,NJ,08037,6092388814
6,Geoffrey,Hammer,41 Michele Drive,Exton,PA,19341,6104398932
7,Ashley,Flannery,401 Jefferson Road,Willow Grove,PA,19090,2153292917
8,Joseph,Brower,38 Southern Way,Princeton,NJ,08540,6099211572
9,Xiaoming,Wang,82 Magellan Court,Franklin Park,NJ,08823,7323311876
10,Derek,Escher,89 Dandelion Lane,Hamilton,NJ,08609,6092433211
11,Laura,Ng,502 Ocean Avenue,Ocean Grove,NJ,07756,7323249893
12,Robert,Sloan,430 Steinert Street,Hamilton,NJ,08609,6095867724
13,Nikil,Patel,3010 Astor Court,Bridgeport,CT,06607,2033488811
14,Merrick,Hubler,239 Madison Street,Hamilton,NY,13346,3152348988
